#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/mnt/c/Users/Rajat/Desktop/Project/Python Project/Quantis_QRNG.txt|  2.87e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.88206186|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.43456414|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.21685359|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.90348594|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.87396347|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.95249535|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.50364272|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.58925871|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.99314232|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.84684064|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.41021916|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.81667300|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.63162674|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.77315766|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.21092080|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.22834469|  PASSED  
             dab_dct| 256|     50000|       1|0.86450880|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.54049645|  PASSED  
        dab_filltree|  32|  15000000|       1|0.73411116|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.60685428|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.27521290|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.59448077|  PASSED  
