		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  234  249  255  257  272  233  240  223  7.517443 0.481966 SUCCESS  76
100101000  258  226  244  232  238  214  229  254  8.216493 0.412613 SUCCESS  77
100110000  231  244  225  244  242  247  270  229  6.139465 0.631613 SUCCESS  78
100111000  234  275  244  252  249  247  256  248  5.532562 0.699430 SUCCESS  79
101000000  228  219  260  249  253  254  245  245  5.697793 0.681041 SUCCESS  80
101000100  283  237  233  238  231  244  246  259  8.983331 0.343704 SUCCESS  81
101001000  259  235  260  236  278  238  253  236  8.271570 0.407402 SUCCESS  82
101001100  231  273  226  253  244  246  250  229  7.118136 0.523942 SUCCESS  83
101010000  271  210  260  246  235  232  259  255 11.490381 0.175431 SUCCESS  84
101010100  277  242  250  267  211  229  257  237 13.496444 0.095872 SUCCESS  85
101011000  228  227  243  257  249  245  227  245  4.401371 0.819218 SUCCESS  86
101011100  236  231  232  235  254  248  236  219  5.416054 0.712322 SUCCESS  87
101100000  202  262  245  238  267  247  236  271 14.625517 0.066849 SUCCESS  88
101100100  254  225  222  261  239  237  274  237  9.565873 0.296827 SUCCESS  89
101101000  242  231  230  273  241  232  230  244  6.636215 0.576341 SUCCESS  90
101101100  210  242  241  242  242  264  264  251  8.579788 0.378974 SUCCESS  91
101110000  237  235  227  244  259  280  253  239  8.645456 0.373082 SUCCESS  92
101110100  270  272  262  240  271  238  240  253 11.178985 0.191762 SUCCESS  93
101111000  224  259  248  225  273  262  223  255 11.544398 0.172718 SUCCESS  94
101111100  247  235  259  268  219  259  217  259 11.406706 0.179702 SUCCESS  95
110000000  256  252  253  233  221  239  243  237  4.315579 0.827588 SUCCESS  96
110000010  188  240  256  242  305  263  245  246 31.261864 0.000126 FAILURE  97
110000100  236  244  257  265  249  230  224  243  5.495491 0.703539 SUCCESS  98
110001000  236  244  240  245  296  243  232  271 15.444253 0.051061 SUCCESS  99
110001010  220  221  257  238  225  248  269  239  9.938700 0.269355 SUCCESS 100
110010000  235  255  236  261  243  245  258  225  4.713826 0.787679 SUCCESS 101
110010010  236  256  232  222  235  271  227  234  8.663462 0.371476 SUCCESS 102
110010100  275  237  232  252  230  237  245  241  6.244323 0.619885 SUCCESS 103
